id_bod|id_schuze|id_tisk|id_typ|bod|uplny_naz|uplny_kon|poznamka|id_bod_stav|pozvanka|rj|pozn2|druh_bodu|id_sd|zkratka
7212|50|||4|Návrh na zøízení stálé komise Poslanecké snìmovny pro kontrolu èinnosti Bezpeènostní informaèní sluby|Není sn.tisk||1|||||||
7212|50|||9|Návrh na zøízení stálé komise Poslanecké snìmovny pro kontrolu èinnosti Bezpeènostní informaèní sluby|Není sn.tisk||1|1||||||
7213|50|||8|Návrh pravidel hospodaøení poslaneckıch klubù pro rok 1996|Není sn.tisk||1|1||||||
7213|50|||15|Návrh pravidel hospodaøení poslaneckıch klubù pro rok 1996|Není sn.tisk||1|||||||
7214|50|||7|Návrh rozpoètového vıboru na usnesení Poslanecké snìmovny k pøíspìvku na úhradu volebních nákladù politickım stranám|Není sn.tisk||1|1||||||
7214|50|||14|Návrh rozpoètového vıboru na usnesení Poslanecké snìmovny k pøíspìvku na úhradu volebních nákladù politickım stranám|Není sn.tisk||1|||||||
7215|50|||9|Návrh volební komise na volbu pøedsedy stálé komise Poslanecké snìmovny pro kontrolu pouívání operativní techniky Policie Èeské republiky|Není sn.tisk||1|||||||
7215|50|||14|Návrh volební komise na volbu pøedsedy stálé komise Poslanecké snìmovny pro kontrolu pouívání operativní techniky Policie Èeské republiky|Není sn.tisk||1|1||||||
7216|50|||8|Návrh volební komise na volbu pøedsedy stálé komise Poslanecké snìmovny pro kontrolu èinnosti Bezpeènostní informaèní sluby|Není sn.tisk||1|||||||
7216|50|||13|Návrh volební komise na volbu pøedsedy stálé komise Poslanecké snìmovny pro kontrolu èinnosti Bezpeènostní informaèní sluby|Není sn.tisk||1|1||||||
7217|50|||7|Návrh volební komise na volbu èlenù stálé komise Poslanecké snìmovny pro kontrolu pouívání operativní techniky Policie Èeské republiky|Není sn.tisk||1|||||||
7217|50|||12|Návrh volební komise na volbu èlenù stálé komise Poslanecké snìmovny pro kontrolu pouívání operativní techniky Policie Èeské republiky|Není sn.tisk||1|1||||||
7218|50|||6|Návrh volební komise na volbu èlenù stálé komise Poslanecké snìmovny pro kontrolu èinnosti Bezpeènostní informaèní sluby|Není sn.tisk||1|||||||
7218|50|||11|Návrh volební komise na volbu èlenù stálé komise Poslanecké snìmovny pro kontrolu èinnosti Bezpeènostní informaèní sluby|Není sn.tisk||1|1||||||
7219|50|537||2|Vládní návrh zákona, kterım se mìní a doplòuje zákon è. 247/1995 Sb., o volbách do Parlamentu Èeské republiky a o zmìnì a doplnìní nìkterıch dalších zákonù|/snìmovní tisk 9/||1|||||||
7219|50|537||2|Vládní návrh zákona, kterım se mìní a doplòuje zákon è. 247/1995 Sb., o volbách do Parlamentu Èeské republiky a o zmìnì a doplnìní nìkterıch dalších zákonù|/snìmovní tisk 9/||1|1||||||
7220|50|535|1|5|Vládní návrh, kterım se pøedkládá Parlamentu Èeské republiky k vyslovení souhlasu Dohoda mezi Èeskou republikou a Chorvatskou republikou o podpoøe a vzájemné ochranì investic, podepsaná dne 5. bøezna 1996 v Záhøebu|/snìmovní tisk 6/||1|1||||||
7220|50|535|1|12|Vládní návrh, kterım se pøedkládá Parlamentu Èeské republiky k vyslovení souhlasu Dohoda mezi Èeskou republikou a Chorvatskou republikou o podpoøe a vzájemné ochranì investic, podepsaná dne 5. bøezna 1996 v Záhøebu|/snìmovní tisk 6/||1|||||||
7221|50|530|1|3|Vládní návrh, kterım se pøedkládá Parlamentu Èeské republiky k vyslovení souhlasu Dohoda mezi Èeskou republikou a Italskou republikou o podpoøe a ochranì investic, podepsaná dne 22. ledna 1996 v Øímì|/snìmovní tisk 1/||1|1||||||
7221|50|530|1|10|Vládní návrh, kterım se pøedkládá Parlamentu Èeské republiky k vyslovení souhlasu Dohoda mezi Èeskou republikou a Italskou republikou o podpoøe a ochranì investic, podepsaná dne 22. ledna 1996 v Øímì|/snìmovní tisk 1/||1|||||||
7222|50|536|1|6|Vládní návrh, kterım se pøedkládá Parlamentu Èeské republiky k vyslovení souhlasu Protokol o dalším sníení emisí slouèenin síry k Úmluvì o dálkovém zneèišování ovzduší pøecházejícím hranice státù podepsanı v Oslu dne 14. èervna 1994|/snìmovní tisk 7/||1|1||||||
7222|50|536|1|13|Vládní návrh, kterım se pøedkládá Parlamentu Èeské republiky k vyslovení souhlasu Protokol o dalším sníení emisí slouèenin síry k Úmluvì o dálkovém zneèišování ovzduší pøecházejícím hranice státù podepsanı v Oslu dne 14. èervna 1994|/snìmovní tisk 7/||1|||||||
